Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
3269.7;812.5;1905.0;1.32;1.28;0.060;0.006;0.006;0.02;85.6;33.0;14.95;Cuarzo-sericita;Baja pirita
3279.1;1009.9;1954.9;0.45;2.18;0.002;0.003;0.007;0.01;85.9;27.2;15.83;Potásico;Baja pirita
3280.8;988.7;1980.2;0.70;3.65;0.013;0.003;0.004;0.01;86.7;24.9;15.16;Cuarzo-sericita;Alta pirita
3281.5;975.2;1996.2;0.81;4.68;0.024;0.003;0.010;0.02;86.6;24.1;13.51;Cuarzo-sericita;Alta pirita
3288.2;909.3;1903.2;0.82;1.03;0.091;0.007;0.012;0.02;91.3;32.1;14.70;Potásico;Baja pirita
3297.3;601.8;2064.1;0.42;2.45;0.007;0.006;0.019;0.05;78.0;24.1;13.30;Cuarzo-sericita;Baja pirita
3300.7;1057.4;1967.7;0.55;2.26;0.002;0.007;0.014;0.02;88.2;25.3;16.41;Cuarzo-sericita;Baja pirita
3303.0;931.5;1976.3;0.80;1.67;0.010;0.003;0.005;0.02;91.6;29.9;14.97;Cuarzo-sericita;Baja pirita
3336.3;617.0;2107.2;0.39;2.99;0.033;0.003;0.020;0.03;84.2;23.7;14.03;Cuarzo-sericita;Baja pirita
3349.0;698.7;2005.4;0.53;3.24;0.048;0.009;0.108;0.04;80.3;23.2;13.23;Cuarzo-sericita;Baja pirita
3354.9;833.2;2046.8;0.39;1.40;0.006;0.006;0.056;0.03;76.6;26.1;16.85;Cuarzo-sericita;Alta pirita
3365.2;1047.8;2050.3;0.48;1.98;0.009;0.006;0.029;0.04;70.4;25.6;16.54;Cuarzo-sericita;Baja pirita
3378.0;967.1;1830.4;0.69;1.53;0.011;0.006;0.021;0.03;82.7;28.7;14.96;Cuarzo-sericita;Alta pirita
3382.8;1045.3;1997.9;0.72;2.30;0.005;0.006;0.033;0.05;88.0;26.0;14.34;Cuarzo-sericita;Baja pirita
3387.0;960.6;2028.1;0.51;1.00;0.011;0.006;0.022;0.03;76.6;30.9;13.94;Potásico;Baja pirita
3395.9;761.1;2079.2;0.44;1.21;0.033;0.006;0.025;0.04;73.2;26.9;13.56;Cuarzo-sericita;Alta pirita
3395.9;761.1;2028.2;0.40;1.24;0.006;0.006;0.023;0.02;81.6;27.8;14.02;Cuarzo-sericita;Baja pirita
3396.4;1267.6;2167.5;0.39;3.31;0.010;0.006;0.041;0.07;75.9;22.9;15.61;Potásico;Alta pirita
3397.8;520.8;1972.1;0.42;1.00;0.004;0.006;0.013;0.01;86.6;28.9;13.71;Potásico;Baja pirita
3419.0;830.6;2094.8;1.21;2.48;0.128;0.011;0.110;0.06;92.5;28.2;11.89;Cuarzo-sericita;Alta pirita
3431.2;793.9;2046.7;0.95;2.78;0.150;0.009;0.006;0.07;91.6;26.2;15.04;Potásico;Alta pirita
3439.8;820.8;2097.9;2.94;3.96;0.015;0.010;0.012;0.40;72.7;33.8;15.32;Cuarzo-sericita;Alta pirita
3445.4;858.9;1993.6;0.79;0.56;0.034;0.016;0.078;0.02;86.6;36.2;13.60;Cuarzo-sericita;Baja pirita
3446.9;666.9;2157.0;0.42;1.68;0.004;0.006;0.039;0.07;72.9;25.4;15.55;Cuarzo-sericita;Alta pirita
3462.4;1086.4;2050.0;0.55;1.48;0.006;0.006;0.026;0.04;78.5;27.3;16.94;Cuarzo-sericita;Baja pirita
3471.0;1238.2;2180.9;0.94;1.48;0.003;0.007;0.017;0.05;93.8;28.9;16.02;Cuarzo-sericita;Alta pirita
3486.6;743.0;2096.1;1.06;1.48;0.004;0.008;0.033;0.13;86.7;31.1;14.17;Cuarzo-sericita;Alta pirita
3490.0;965.7;2076.9;0.48;1.41;0.022;0.006;0.047;0.04;75.8;26.9;14.94;Cuarzo-sericita;Alta pirita
3496.6;1191.9;2134.3;0.54;1.40;0.021;0.007;0.052;0.04;75.1;27.2;14.40;Potásico;Alta pirita
3506.6;983.0;1960.7;0.63;1.48;0.006;0.006;0.043;0.03;78.2;27.8;14.94;Cuarzo-sericita;Baja pirita
3526.0;690.6;2140.5;0.74;2.17;0.003;0.004;0.063;0.05;82.6;27.4;13.32;Cuarzo-sericita;Alta pirita
3527.9;965.8;1985.4;0.66;3.07;0.004;0.012;0.045;0.07;82.1;23.7;14.67;Cuarzo-sericita;Baja pirita
3534.7;586.8;2010.8;0.68;2.38;0.002;0.005;0.026;0.03;80.1;25.3;14.01;Cuarzo-sericita;Baja pirita
3539.0;1293.9;2222.5;0.42;3.11;0.004;0.006;0.009;0.03;85.9;23.4;14.79;Cuarzo-sericita;Alta pirita
3545.1;798.6;2148.4;0.92;2.14;0.007;0.006;0.032;0.07;81.0;28.7;18.04;Cuarzo-sericita;Alta pirita
3592.5;1015.7;2013.5;0.50;1.38;0.018;0.006;0.073;0.02;80.8;27.3;14.71;Cuarzo-sericita;Baja pirita
3595.5;1103.6;2176.4;0.50;1.43;0.006;0.010;0.113;0.03;77.2;27.0;15.21;Cuarzo-sericita;Alta pirita
3606.3;876.9;2026.4;0.78;1.74;0.004;0.006;0.009;0.06;86.2;27.8;13.08;Potásico;Alta pirita
3625.7;878.8;2098.9;1.14;2.07;0.008;0.006;0.022;0.10;82.4;29.0;15.16;Cuarzo-sericita;Alta pirita
3652.4;1051.6;2091.0;0.51;1.38;0.020;0.006;0.028;0.01;88.8;26.7;13.83;Cuarzo-sericita;Alta pirita
3697.8;1203.3;2201.8;0.52;3.27;0.004;0.033;0.019;0.08;82.4;23.3;15.80;Cuarzo-sericita;Alta pirita
3698.1;879.7;2038.5;0.47;1.90;0.007;0.006;0.095;0.04;73.0;25.1;13.14;Cuarzo-sericita;Alta pirita
3740.9;1151.5;2149.7;0.59;2.87;0.004;0.008;0.060;0.10;78.1;24.9;14.57;Cuarzo-sericita;Alta pirita
3750.1;1002.7;2200.6;1.27;2.08;0.012;0.006;0.010;0.07;88.8;29.5;16.62;Potásico;Alta pirita
3836.2;992.3;2167.7;0.59;1.61;0.004;0.006;0.086;0.04;81.5;27.1;14.21;Cuarzo-sericita;Alta pirita
